2018-12-14 10:37:33,436 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:37:41,076 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:39:05,985 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:40:21,626 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:40:39,299 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:40:41,422 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:40:45,095 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:41:23,624 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:42:15,926 | Snmp_Trap | INFO | Starting trap catching... Press Ctrl + C to stop...
2018-12-14 10:43:59,705 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:43:59,705 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:45:13,065 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:45:13,065 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:46:52,692 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:46:52,692 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:46:52,692 | Snmp_Trap | INFO | Stop trap catching... Press Ctrl + C to stop...
2018-12-14 10:47:44,192 | Snmp_Trap | INFO | Stop trap catching... Press Ctrl + C to stop...
2018-12-14 10:47:44,192 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:47:44,192 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:48:13,367 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:48:13,367 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:48:19,383 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:48:19,383 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:48:58,244 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:48:58,244 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:48:58,244 | Snmp_Trap | INFO | Stop trap catching... Press Ctrl + C to stop...
2018-12-14 10:49:39,795 | Snmp_Trap | INFO | Stop trap catching... Press Ctrl + C to stop...
2018-12-14 10:49:39,796 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:49:39,796 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:51:46,708 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:51:46,708 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:52:29,257 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:52:29,257 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:53:04,209 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:53:04,209 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:53:04,209 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 10:53:20,426 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 10:55:41,137 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:55:41,137 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:55:41,137 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 10:55:45,010 | Snmp_Trap | INFO | Received trap is: b'0C\x02\x01\x01\x04\x06public\xa76\x02\x04\x00\xa4\xebs\x02\x01\x00\x02\x01\x000(0\r\x06\x08+\x06\x01\x02\x01\x01\x03\x00C\x01\x000\x17\x06\n+\x06\x01\x06\x03\x01\x01\x04\x01\x00\x06\t+\x06\x01\x06\x03\x01\x01\x05\x01'
2018-12-14 10:55:45,010 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 10:56:12,652 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:56:12,652 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:56:12,652 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 10:56:17,590 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
2018-12-14 10:56:52,825 | Snmp_Trap | INFO | Starting trap catching...
2018-12-14 10:56:52,825 | Snmp_Trap | INFO | trap catching in progress... Press Ctrl + C to stop...
2018-12-14 10:56:52,825 | Snmp_Trap | INFO | UDP packet receiver started
2018-12-14 10:56:57,060 | Snmp_Trap | INFO | Snmp trap successfully sended on ip: 192.168.13.66 and port: 162
